date,PM25
1/31/09,-999
2/1/09,-999
2/2/09,-999
2/3/09,-999
2/4/09,-999
2/5/09,-999
2/6/09,-999
2/7/09,-999
2/8/09,-999
2/9/09,-999
2/10/09,-999
2/11/09,-999
2/12/09,-999
2/13/09,-999
2/14/09,-999
2/15/09,-999
2/16/09,-999
2/17/09,-689.6666667
2/18/09,90.5
2/19/09,88
2/20/09,29.79166667
2/21/09,110.8333333
2/22/09,20.41666667
2/23/09,79.66666667
2/24/09,65.58333333
2/25/09,26.54166667
2/26/09,-54.54166667
2/27/09,-999
2/28/09,-999
3/1/09,-999
3/2/09,-999
3/3/09,-544.7083333
3/4/09,266.75
3/5/09,75.16666667
3/6/09,21.83333333
3/7/09,122.125
3/8/09,118.7083333
3/9/09,22.29166667
3/10/09,72.91666667
3/11/09,86.25
3/12/09,73
3/13/09,26.5
3/14/09,56.08333333
3/15/09,82.29166667
3/16/09,82.625
3/17/09,210.5
3/18/09,240.8333333
3/19/09,82.33333333
3/20/09,56.04166667
3/21/09,99.66666667
3/22/09,16.54166667
3/23/09,60.29166667
3/24/09,23.54166667
3/25/09,15.66666667
3/26/09,27.75
3/27/09,55.08333333
3/28/09,53.04166667
3/29/09,71.20833333
3/30/09,64.29166667
3/31/09,-22.375
4/1/09,17.875
4/2/09,87
4/3/09,79.33333333
4/4/09,107.3333333
4/5/09,42.875
4/6/09,-266.75
4/7/09,-434.6666667
4/8/09,-167.4166667
4/9/09,104.7083333
4/10/09,112.4166667
4/11/09,142.125
4/12/09,230.75
4/13/09,147.7083333
4/14/09,63.375
4/15/09,27
4/16/09,65.29166667
4/17/09,117.0833333
4/18/09,109.0416667
4/19/09,86.625
4/20/09,43.29166667
4/21/09,-281.5
4/22/09,-69.375
4/23/09,88.25
4/24/09,77.625
4/25/09,18.58333333
4/26/09,-446.625
4/27/09,-471.5
4/28/09,28.70833333
4/29/09,102.125
4/30/09,135.5833333
5/1/09,69.79166667
5/2/09,-161.375
5/3/09,-458.375
5/4/09,-999
5/5/09,-999
5/6/09,-999
5/7/09,-604.7916667
5/8/09,125.2083333
5/9/09,90
5/10/09,47.66666667
5/11/09,103.8333333
5/12/09,47
5/13/09,-196.125
5/14/09,-999
5/15/09,-999
5/16/09,-999
5/17/09,-999
5/18/09,-594.5
5/19/09,100.5833333
5/20/09,111.0416667
5/21/09,49.45833333
5/22/09,23.83333333
5/23/09,66.25
5/24/09,176.875
5/25/09,144.625
5/26/09,92.625
5/27/09,144.2083333
5/28/09,57.25
5/29/09,55.75
5/30/09,43.75
5/31/09,45.125
6/1/09,68.58333333
6/2/09,27.08333333
6/3/09,42.20833333
6/4/09,-8.125
6/5/09,-999
6/6/09,-953.7083333
6/7/09,103.5416667
6/8/09,78.41666667
6/9/09,37.04166667
6/10/09,18.83333333
6/11/09,78.54166667
6/12/09,33.875
6/13/09,80
6/14/09,59.70833333
6/15/09,114
6/16/09,102.625
6/17/09,135.375
6/18/09,321.125
6/19/09,266.8333333
6/20/09,149.4166667
6/21/09,79.33333333
6/22/09,-444
6/23/09,-954.4583333
6/24/09,-203.5
6/25/09,-813.1666667
6/26/09,-800.8333333
6/27/09,138.5833333
6/28/09,117.2916667
6/29/09,72.95833333
6/30/09,20.83333333
7/1/09,28.79166667
7/2/09,52.25
7/3/09,99.91666667
7/4/09,157.375
7/5/09,-196.0833333
7/6/09,-953.9166667
7/7/09,80.875
7/8/09,67.54166667
7/9/09,62.54166667
7/10/09,95.04166667
7/11/09,100.75
7/12/09,64.875
7/13/09,128.75
7/14/09,-87.70833333
7/15/09,151.4583333
7/16/09,124.3333333
7/17/09,57.125
7/18/09,47.20833333
7/19/09,108.5833333
7/20/09,69.95833333
7/21/09,105
7/22/09,179.5833333
7/23/09,53.625
7/24/09,-169.875
7/25/09,33.375
7/26/09,84.75
7/27/09,103.5416667
7/28/09,94.29166667
7/29/09,136.625
7/30/09,188.1666667
7/31/09,94.70833333
8/1/09,154.0416667
8/2/09,83.66666667
8/3/09,143.4166667
8/4/09,154.7083333
8/5/09,84.375
8/6/09,44.58333333
8/7/09,112
8/8/09,-907.125
8/9/09,89.75
8/10/09,83.29166667
8/11/09,94.54166667
8/12/09,101.6666667
8/13/09,140.9583333
8/14/09,208.5
8/15/09,145.9166667
8/16/09,159
8/17/09,98.04166667
8/18/09,141.625
8/19/09,70.54166667
8/20/09,6
8/21/09,58.95833333
8/22/09,35.75
8/23/09,67.54166667
8/24/09,152.2083333
8/25/09,-226.0416667
8/26/09,138.5
8/27/09,75.66666667
